Call Start,Connected Time,Ring Time,Caller,Direction,Called Number,Dialled Number,Account,Is Internal,Call ID,Continuation,Party1Device,Party1Name,Party2Device,Party2Name,Hold Time,Park Time,AuthValid,AuthCode,UserCharged,CallCharge,Currency,AmountAtLastUserChange,CallUnits,UnitsAtLastUserChange,CostPerUnit,MarkUp,ExternalTargetingCause,ExternalTargeterId,ExternalTargetedNumber
2026/08/04 09:00:00,00:01:30,00:00:04,EXT-101,I,EXT-201,EXT-201,DEMO,1,SYNTHETIC-001,,DEMO-PHONE-A,Operator Alpha,DEMO-PHONE-B,Operator Beta,00:00:00,00:00:00,0,,,0,AUD,,,,,,,,
2026/08/04 09:07:00,00:01:30,00:00:04,EXT-102,O,EXT-202,EXT-202,DEMO,1,SYNTHETIC-002,,DEMO-PHONE-A,Operator Alpha,DEMO-PHONE-B,Operator Beta,00:00:00,00:00:00,0,,,0,AUD,,,,,,,,
2026/08/04 09:14:00,00:01:30,00:00:04,EXT-103,I,EXT-203,EXT-203,DEMO,1,SYNTHETIC-003,,DEMO-PHONE-A,Operator Alpha,DEMO-PHONE-B,Operator Beta,00:00:00,00:00:00,0,,,0,AUD,,,,,,,,
2026/08/04 09:21:00,00:01:30,00:00:04,EXT-101,O,EXT-204,EXT-204,DEMO,1,SYNTHETIC-004,,DEMO-PHONE-A,Operator Alpha,DEMO-PHONE-B,Operator Beta,00:00:00,00:00:00,0,,,0,AUD,,,,,,,,
2026/08/04 09:28:00,00:01:30,00:00:04,EXT-102,I,EXT-201,EXT-201,DEMO,1,SYNTHETIC-005,,DEMO-PHONE-A,Operator Alpha,DEMO-PHONE-B,Operator Beta,00:00:00,00:00:00,0,,,0,AUD,,,,,,,,
2026/08/04 09:35:00,00:01:30,00:00:04,EXT-103,O,EXT-202,EXT-202,DEMO,1,SYNTHETIC-006,,DEMO-PHONE-A,Operator Alpha,DEMO-PHONE-B,Operator Beta,00:00:00,00:00:00,0,,,0,AUD,,,,,,,,
2026/08/04 10:42:00,00:01:30,00:00:04,EXT-101,I,EXT-203,EXT-203,DEMO,1,SYNTHETIC-007,,DEMO-PHONE-A,Operator Alpha,DEMO-PHONE-B,Operator Beta,00:00:00,00:00:00,0,,,0,AUD,,,,,,,,
2026/08/04 10:49:00,00:01:30,00:00:04,EXT-102,O,EXT-204,EXT-204,DEMO,1,SYNTHETIC-008,,DEMO-PHONE-A,Operator Alpha,DEMO-PHONE-B,Operator Beta,00:00:00,00:00:00,0,,,0,AUD,,,,,,,,
2026/08/04 10:56:00,00:01:30,00:00:04,EXT-103,I,EXT-201,EXT-201,DEMO,1,SYNTHETIC-009,,DEMO-PHONE-A,Operator Alpha,DEMO-PHONE-B,Operator Beta,00:00:00,00:00:00,0,,,0,AUD,,,,,,,,
2026/08/04 10:03:00,00:01:30,00:00:04,EXT-101,O,EXT-202,EXT-202,DEMO,1,SYNTHETIC-010,,DEMO-PHONE-A,Operator Alpha,DEMO-PHONE-B,Operator Beta,00:00:00,00:00:00,0,,,0,AUD,,,,,,,,
2026/08/04 10:10:00,00:01:30,00:00:04,EXT-102,I,EXT-203,EXT-203,DEMO,1,SYNTHETIC-011,,DEMO-PHONE-A,Operator Alpha,DEMO-PHONE-B,Operator Beta,00:00:00,00:00:00,0,,,0,AUD,,,,,,,,
2026/08/04 10:17:00,00:01:30,00:00:04,EXT-103,O,EXT-204,EXT-204,DEMO,1,SYNTHETIC-012,,DEMO-PHONE-A,Operator Alpha,DEMO-PHONE-B,Operator Beta,00:00:00,00:00:00,0,,,0,AUD,,,,,,,,
2026/08/04 11:24:00,00:01:30,00:00:04,EXT-101,I,EXT-201,EXT-201,DEMO,1,SYNTHETIC-013,,DEMO-PHONE-A,Operator Alpha,DEMO-PHONE-B,Operator Beta,00:00:00,00:00:00,0,,,0,AUD,,,,,,,,
