"artifact_id","workflow","report_date","source_report","execution_mode","reported_outcome","assessment_scope","reported_new_sheets","reported_new_data_rows","validation_scope","intervention","provenance_notes","source_sha256","inventory_date"
"avaya_call_log_report_2026-06-11","avaya-call-log","2026-06-11","avaya_call_log_report_2026-06-11.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","1173c6420e628888b7fd1676c4b8d718dffa2eedcb7fec35009377cc0d1ea3f3","2026-09-22"
"avaya_call_log_report_2026-06-12","avaya-call-log","2026-06-12","avaya_call_log_report_2026-06-12.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","7d7c0d582137fa4185d362130f4d7577608e3ce1281e41340486d217d28d5b1b","2026-09-22"
"avaya_call_log_report_2026-06-15","avaya-call-log","2026-06-15","avaya_call_log_report_2026-06-15.md","unknown","reported_additions","selected_narrative","1","14","reported pre-write row signatures; downloaded-copy sheet and row counts","unknown","Malformed input retained; execution trigger not assessed","8138eaeeaf141adccc1e7d8574de717f51cf5b681c069e54caa373b51e5e9255","2026-09-22"
"avaya_call_log_report_2026-06-16","avaya-call-log","2026-06-16","avaya_call_log_report_2026-06-16.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","d76d43c2600471c2c1d500cd4146e87e16cc803bb51f796f5808bb92ab8bd4db","2026-09-22"
"avaya_call_log_report_2026-06-17","avaya-call-log","2026-06-17","avaya_call_log_report_2026-06-17.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","f9d74a93ee1a596fe1e973ca95de23c22feaa55e1ee14cd595892fcce65edd15","2026-09-22"
"avaya_call_log_report_2026-06-18","avaya-call-log","2026-06-18","avaya_call_log_report_2026-06-18.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","22f5a9741470505124849df91e8cde3d0f483569a586f5397e0f4c60eebd7c9f","2026-09-22"
"avaya_call_log_report_2026-06-19","avaya-call-log","2026-06-19","avaya_call_log_report_2026-06-19.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","a4524211e8a2a03e027d7ca2e5524683584c7dd1f4722ac2e74d8a53bb18095a","2026-09-22"
"avaya_call_log_report_2026-06-22","avaya-call-log","2026-06-22","avaya_call_log_report_2026-06-22.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","c6e66ce58632799cf2b18eabf7a24d5c0e8fc23f166c84ebfa135bb6280cec7f","2026-09-22"
"avaya_call_log_report_2026-06-23","avaya-call-log","2026-06-23","avaya_call_log_report_2026-06-23.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","352ad2d1150e9150dfe13839b06030a1e5ae9a4af368c533bf9bc34649578205","2026-09-22"
"avaya_call_log_report_2026-06-24","avaya-call-log","2026-06-24","avaya_call_log_report_2026-06-24.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","da4a30c080974c7e15f304fb81d544dcbeef7d3b35a7411e7d5aa839790f71b5","2026-09-22"
"avaya_call_log_report_2026-06-25","avaya-call-log","2026-06-25","avaya_call_log_report_2026-06-25.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","c4c93db34ea7b223827a2aa013e7a887918e2c3fc4cccc70ec68c97c349fe4d2","2026-09-22"
"avaya_call_log_report_2026-06-26","avaya-call-log","2026-06-26","avaya_call_log_report_2026-06-26.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","7bd91b2985f8f270eddccd69f9254486cff05559bd503a0be55ec62b5efa0280","2026-09-22"
"avaya_call_log_report_2026-06-29","avaya-call-log","2026-06-29","avaya_call_log_report_2026-06-29.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","07caa48d9f05130224b9f99894355b0beedf454bf6a18eb10c3d129b69e70e55","2026-09-22"
"avaya_call_log_report_2026-06-30","avaya-call-log","2026-06-30","avaya_call_log_report_2026-06-30.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","2873b704441c894ba87b3c080ea661a94dd7d0a5dbf9ce2631901ea45dafb0e5","2026-09-22"
"avaya_call_log_report_2026-07-01","avaya-call-log","2026-07-01","avaya_call_log_report_2026-07-01.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","8f960db9267720ebc2e345d79fc1b250543b1970d33c128e888f3f9d3e5963fd","2026-09-22"
"avaya_call_log_report_2026-07-02","avaya-call-log","2026-07-02","avaya_call_log_report_2026-07-02.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","b48103055435d9be5729079833fca265b85e83189e6b26cc3041f4d58fa87d44","2026-09-22"
"avaya_call_log_report_2026-07-03","avaya-call-log","2026-07-03","avaya_call_log_report_2026-07-03.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","528f55185d99fa9d2a79f98b2de1004d4bf8558878ef232e34e3b623df783d29","2026-09-22"
"avaya_call_log_report_2026-07-06","avaya-call-log","2026-07-06","avaya_call_log_report_2026-07-06.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","a159ee91ad2ac35e91e22c37f82969f7df37d252ab6a0b34e31f40aeb6a2ff43","2026-09-22"
"avaya_call_log_report_2026-07-07","avaya-call-log","2026-07-07","avaya_call_log_report_2026-07-07.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","aa319fa5f13b141da2f93ba0d5497087af9c04b7c861b96d4925bdc773a064ef","2026-09-22"
"avaya_call_log_report_2026-07-08","avaya-call-log","2026-07-08","avaya_call_log_report_2026-07-08.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","d1672ecb228c273d64859a5c6f749f9fd2764629387b211f3c79ede7ab8c6d4a","2026-09-22"
"avaya_call_log_report_2026-07-09","avaya-call-log","2026-07-09","avaya_call_log_report_2026-07-09.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","034a549d7cdb848531342aca751a0ea509ca0f4adacddaa9adec50f5d1a14735","2026-09-22"
"avaya_call_log_report_2026-07-10","avaya-call-log","2026-07-10","avaya_call_log_report_2026-07-10.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","1d0cd064e571958612561bb82dae147df15466237f2a2c80904a45cda8889e72","2026-09-22"
"avaya_call_log_report_2026-07-13","avaya-call-log","2026-07-13","avaya_call_log_report_2026-07-13.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","75fdff9ff901006c2ab536c753b9f384c67406400a5b4e140207c0265569ed2e","2026-09-22"
"avaya_call_log_report_2026-07-14","avaya-call-log","2026-07-14","avaya_call_log_report_2026-07-14.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","aca6487003a5c9c73bdd5fd96e8c0887e66e1850b3a2b2a110b5c9d7d81a4fe4","2026-09-22"
"avaya_call_log_report_2026-07-15","avaya-call-log","2026-07-15","avaya_call_log_report_2026-07-15.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","43350d9b4ad722942a99d660dace2482045658c4ac07505de350c1912c79e6e9","2026-09-22"
"avaya_call_log_report_2026-07-16","avaya-call-log","2026-07-16","avaya_call_log_report_2026-07-16.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","d2fd4d94007153c786775df4a5ccf78271ffa7b2f2e6ae31f1503ffa27b32314","2026-09-22"
"avaya_call_log_report_2026-07-17","avaya-call-log","2026-07-17","avaya_call_log_report_2026-07-17.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","328d8b2bf1d8c063a4abaeff1238b9a1f4ee4353ea4a65468376c3de366572e2","2026-09-22"
"avaya_call_log_report_2026-07-20","avaya-call-log","2026-07-20","avaya_call_log_report_2026-07-20.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","596863234bb7ba0584c1b729e802d981087a8ae3da953b0885863744048c89c3","2026-09-22"
"avaya_call_log_report_2026-07-21","avaya-call-log","2026-07-21","avaya_call_log_report_2026-07-21.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","8a68f6442a2a80840c9d4275b0fd8db392f34742af320d0e0a16eb150194122b","2026-09-22"
"avaya_call_log_report_2026-07-22","avaya-call-log","2026-07-22","avaya_call_log_report_2026-07-22.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","bf37a95ca365c85662e011681da5e564116dbe377dab75e74bcac64a877c0aa4","2026-09-22"
"avaya_call_log_report_2026-07-23","avaya-call-log","2026-07-23","avaya_call_log_report_2026-07-23.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","7717df1466232a0ad3f836adc363eb8de3b173d8cffbefc0bf561e853b388d9d","2026-09-22"
"avaya_call_log_report_2026-07-24","avaya-call-log","2026-07-24","avaya_call_log_report_2026-07-24.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","8b80c012d9d458b9484cd03069f4bd5ae55e12e9ac0400535d4df422eb62e6df","2026-09-22"
"avaya_call_log_report_2026-07-27","avaya-call-log","2026-07-27","avaya_call_log_report_2026-07-27.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","a830b00c34191ae672c40586331130da56938d457e803ff31c78341e713d1825","2026-09-22"
